Date,Country,State(USA only),City,Title
11 Nov 2022, USA,Ohio,Cincinnati,Get Happy: Judy Garland Centennial,"return overlib('Cincinnati Pops Orchestra<BR>John Morris Russell, conductor<BR>Michael Feinstein, piano and vocalist<BR><BR>Join JMR, the Pops and audience favorite Michael Feinstein for a tour through the life and songs of Judy Garland, in honor of her 100th birthday. Enjoy big screen film clips, never-before-seen')"
11 Nov 2022, USA,New York,New York,Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>Experience the action-packed adventure like never before — projected on a huge screen while the Orchestra plays John Williams’s classic score live!<BR><BR>proper link to follow')
11 Nov 2022, Austria,,Wien (Vienna),Cello Cinema,"return overlib('Duo Runge & Ammon:<BR>Eckhart Runge, Cello<BR>Jacques Ammon, Keyboard<BR>Wolfram von Bodecker, Pantomime<BR>Alexander Neander, Pantomime<BR><BR>What would famous cinema films be without their atmospheric music - exciting here, humorous there, always highly emotional? Eckart Runge, cellist and fo')"
11 Nov 2022, USA,Tennessee,Knoxville,Service and Spirit: A Salute to Veterans,return overlib('William Grant Still - Festive Overture<BR>Samuel Barber - Adagio for Strings<BR>John Williams - “The Men of the Yorktown” from Midway<BR>Aaron Copland - Lincoln Portrait<BR>Traditional - Armed Forces Salute<BR>Sergei Prokofiev - Symphony No. 5')
11 Nov 2022, United Kingdom,,Manchester,The Music of Lord of the Rings and Beyond,"return overlib('Experience epic and inspirational music from Howard Shore\'s Lord of the Rings, The Hobbit, Game of Thrones and beyond as the worlds of TV, film and fantasy are brought to life by a full symphony orchestra and stunning choir, in this unmissable concert featuring the greatest movie music of all time.')"
12 Nov 2022, France,,Aix-en-Provence,The Lord of the Rings: The Two Towers,"return overlib('Howard Shore - The Lord of the Rings: The Two Towers<BR><BR>The adventure continues with the second installment of Peter Jackson\'s epic trilogy. Rediscover Middle-earth during the exceptional cine-concert \""The Lord of the Rings: The Two Towers\"". With more than 250 musicians & singer')"
12 Nov 2022, Netherlands,,Rotterdam,Harry Potter and the Half-Blood Prince™ In Concert,"return overlib('Nicholas Hooper - Harry Potter and the Half-Blood Prince<BR><BR>Experience the magic of Harry Potter and the Half-Blood Prince in the concert hall: the film screening with live accompaniment by the Rotterdam Philharmonic Orchestra. In the sixth part of JK Rowling\'s classic saga, the now sixteen-yea')"
12 Nov 2022, Germany,,Dresden,Klassik Radio Live in concert 2020: Film Music,"return overlib('After 8 sold out Germany-wide concert tours, Klassik Radio is continuing this success story. The night of the film music is unique and highly emotional.<BR><BR>Experience rousing film music and breathtaking soundtracks from the cinema world - played by 80 top musicians under the direction of star co')"
12 Nov 2022, United Kingdom,,Beckenham,Symphonic Concert,"return overlib('Dame Ethel Smyth - The Wreckers<BR>Edward Elgar - Cello Concerto<BR>Ralph Vaughan Williams - Sinfonia Antartica, music from the score Williams composed for Scott of the Antarctic (1948)')"
12 Nov 2022, Germany,,Berlin,The Music of Two Steps from Hell,"return overlib('CONCERT HAS BEEN CANCELED<BR><BR>After the huge success of \""The Music of TWO STEPS FROM HELL\"" in 2019, the Czech Symphony Orchestra Prague and the EPIC MUSIC Choir will again come under the baton of Franz Bader with the epic music of Thomas Bergersen and Nick Phoenix.<BR>Epic music makes unknown strings vibrate in us an')"
12 Nov 2022, France,,Epernay,Disney in Concert - Magical Music from the Movies,"return overlib('The best of your favorite Disney screens on giant screen accompanied by a symphony orchestra and singers on stage. A magical moment to live between loved ones, the show\'s composers have taken into account all generations of Disney fans. Simba, Belle, Pocahontas, The Snow Queen, Jack Sparrow, the Li')"
12 Nov 2022, Germany,,Hamburg,Entertainment on two grand pianos,"return overlib('The Queenz of Piano are synonymous with entertaining piano playing on two grand pianos: baroque, classical, pop, rock and even film music are woven into a stage show – where the focus is having fun whilst simultaneously maintaining a high musical standard.')"
12 Nov 2022, USA,Florida,Miami,Disney Princess – The Concert,"return overlib('For generations, Disney’s Princesses have enchanted us with their courage and kindness. Their music has been the soundtrack to our lives. Now, for the first time in forever, that beloved music will be celebrated in Disney Princess – The Concert!  Be our guest as an all-star quartet of Br')"
12 Nov 2022, Germany,,Hamm,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>The Music Of James Bond: Since the 60s until today, the music of the thriller around the British secret agent is inextricably linked to the movies. Original music from \""Skyfall\"", \""Casino Royale\"", \""Golden Eye\"", Moonra')"
12 Nov 2022, Czech Republic,,Jihlava,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
12 Nov 2022, USA,Illinois,Chicago,The Godfather - Live in Concert,return overlib('Nino Rota - The Godfather<BR><BR>The Godfather Live in Concert brings Francis Ford Coppola’s masterpiece film to the Auditorium Theatre.<BR><BR>Relive the chilling portrait of the Sicilian clan’s rise to power as the Chicago Philharmonic Orchestra performs Nino Rota’s unforgettable')
12 Nov 2022, USA,Oklahoma,Oklahoma City,Bolero!,"return overlib('Oklahoma City Philharmonic<BR>Joseph Young, guest conductor<BR>Pepe Romero, guitar<BR><BR>Silvestre Revueltas (Arr. Kleiber): Redes 1935: music from the movie by Emilio Gómez & Fred Zinneman<BR>Joaquín Rodrigo: Concierto De Aranjuez<BR>Claude Debussy: Prelude To The Aflemoon Of A F')"
12 Nov 2022, USA,New York,New York,"Kirill Petrenko conducts Korngold, Mozart and Norman","return overlib(' Berliner Philharmoniker<BR>Kirill Petrenko, conductor<BR>Noah Bendix-Balgley, violin<BR><BR>The hero of Kurt Vonnegut’s novel Slaughterhouse Five is “unstuck in time”, a phrase that inspired the American composer Andrew Norman to write his stormy, virtuosic orchestral work Unstuck')"
12 Nov 2022, USA,Virginia,Alexandria,"Scheherazade: Afghan Days, Arabian Nights",return overlib('Rimsky-Korsakov’s popular poetic telling of four tales from Arabian Nights has awed symphony audiences for 150 years. Newly arrived members of the Alexandria community share the rhythms and voices of their native Afghanistan.<BR><BR>John Williams - E.T.: Adventures On Earth<BR>Dinuk Wijeratne ')
12 Nov 2022, France,,Dijon,The Lord of the Rings and cinema concert ,"return overlib('Howard Shore - The Lord of the Rings and the Hobbit<BR><BR>JRR Tolkien\'s masterpiece in concert with orchestra, choir and Tolkien Ensemble set to Oscar-winning music by Howard Shore, Annie Lennox, Enya and Ed Sheeran.<BR><BR>The fantastic world of hobbits and elves from JRR Tolkien\'s \""Lord o')"
12 Nov 2022, USA,Illinois,Rockford,From the Mothership to the Underworld,"return overlib('Rockford Symphony Orchestra<BR>Vlad Vizireanu, conductor<BR>Danielle Gonzalez, percussion<BR><BR>Originally commissioned by Michael Tilson Thomas for the YouTube Symphony, audience favorite, Mason Bates’ Mothership, is a 21st-century imagination of an orchestral scherzo. To complement the char')"
12 Nov 2022, France,,"Bordeaux, Floirac",Naruto Symphonic Experience,"return overlib('VISUEL productions presents, in agreement with Un pour tous productions<BR>NARUTO SYMPHONIC EXPERIENCE<BR><BR>On the occasion of Naruto\'s 20th anniversary and for the first time in Paris, then on tour in France, relive the extraordinary story of this young Ninja apprentice during an exceptional vis')"
12 Nov 2022, Canada,,Montréal (Montreal),Final Fantasy VII - Materia Symphony,"return overlib('The OJV will present a grand concert dedicated to the Final Fantasy franchise, all at the St-Jean-Baptiste Church in Montreal, accompanied by a choir and a professional lighting design.<BR><BR>Come hear Final Fantasy VII: Materia Symphony, an original musical piece composed especially for this event')"
12 Nov 2022, USA,New York,New York,Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>Experience the action-packed adventure like never before — projected on a huge screen while the Orchestra plays John Williams’s classic score live!<BR><BR>proper link to follow')
12 Nov 2022, USA,Georgia,Atlanta,Violin Superstar Gil Shaham,"return overlib('Jean Sibelius - The Oceanides<BR>Erich Wolfgang Korngold - Violin Concerto D-Major, op.35, the concerto has themes from the scores for the movies ANOTHER DAWN (1937), ANTHONY ADVERSE (1936) & THE PRINCE AND THE PAUPER (1937)<BR>Jennifer Higdon - Concerto for Orchestra<BR><BR>Before he pioneered ')"
12 Nov 2022, USA,Texas,Fort Worth,Distant Worlds,"return overlib('The producers of Distant Worlds: music from FINAL FANTASY are proud to present a new orchestra concert experience: FINAL FANTASY 35th Anniversary Distant Worlds: music from FINAL FANTASY Coral. Specially curated by Nobuo Uematsu, the program is a monumental, retrospective celebration of the incredib')"
13 Nov 2022, Netherlands,,Rotterdam,Harry Potter and the Half-Blood Prince™ In Concert,"return overlib('Nicholas Hooper - Harry Potter and the Half-Blood Prince<BR><BR>Experience the magic of Harry Potter and the Half-Blood Prince in the concert hall: the film screening with live accompaniment by the Rotterdam Philharmonic Orchestra. In the sixth part of JK Rowling\'s classic saga, the now sixteen-yea')"
13 Nov 2022, France,,Le Mans,Disney in Concert - Magical Music from the Movies,"return overlib('The best of your favorite Disney screens on giant screen accompanied by a symphony orchestra and singers on stage. A magical moment to live between loved ones, the show\'s composers have taken into account all generations of Disney fans. Simba, Belle, Pocahontas, The Snow Queen, Jack Sparrow, the Li')"
13 Nov 2022, USA,Florida,Melbourne,Disney Princess – The Concert,"return overlib('For generations, Disney’s Princesses have enchanted us with their courage and kindness. Their music has been the soundtrack to our lives. Now, for the first time in forever, that beloved music will be celebrated in Disney Princess – The Concert!  Be our guest as an all-star quartet of Br')"
13 Nov 2022, Czech Republic,,Ostrava,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
13 Nov 2022, USA,California,Stockton,Stockton Symphony Made in America: Salute to American Composers,"return overlib('Stockton Symphony Association<BR>Peter Jaffe, Music Director<BR>Jonathan Hulting-Cohen, alto saxophone<BR><BR>Bob Lowden: Armed Forces Salute<BR>following Veteran’s Day, honoring those who’ve served our country<BR><BR>George Gershwin: Selections from Porgy and Bess<BR>upbeat medley captu')"
13 Nov 2022, Singapore,,Singapore,Concerts for Children: Family Film Favorites,"return overlib('We’re taking a musical trip to the movies! Travel to a galaxy far, far away with the music of Star Wars and drop in on Hogwarts with the tunes of Harry Potter. Hear all your favourite music from The Lion King, Beauty and the Beast, Frozen, Little Mermaid and many more!<BR><BR>NOTE: 2 performan')"
13 Nov 2022, USA,Virginia,Alexandria,"Scheherazade: Afghan Days, Arabian Nights",return overlib('Rimsky-Korsakov’s popular poetic telling of four tales from Arabian Nights has awed symphony audiences for 150 years. Newly arrived members of the Alexandria community share the rhythms and voices of their native Afghanistan.<BR><BR>John Williams - E.T.: Adventures On Earth<BR>Dinuk Wijeratne ')
13 Nov 2022, Luxembourg,,Luxembourg (Luxemburg),The music of Hans Zimmer & others,"return overlib('The film music experience of the year<BR><BR>The symphonic world of Hans Zimmer with music from The Lion King, Pirates of the Caribbean, Gladiator, Dark  Knight, Inception, Interstellar and more!<BR><BR>Berlin / Los Angeles - With fanfares into an unique film music concert: the great symphonic world')"
